0 18.124 0
0 24.937 0
0 13.756 0
0 8.911 0
1 5.263 18.124
0 23.882 0
0 11.881 0
1 5.213 8.911
2 9.394 23.387
0 25.775 0
0 14.106 0
2 9.577 14.124
3 13.53 32.781
0 31.881 0
1 14.171 14.106
2 13.824 14.124
4 28.714 46.311
0 7.171 0
2 28.831 28.277
2 22.465 14.124
4 10.411 46.311
1 18.866 7.171
2 10.528 28.277
3 18.788 36.589
4 20.563 46.311
2 10.279 26.037
3 10.503 38.805
3 10.252 36.589
4 19.218 46.311
3 6.772 36.316
3 9.187 38.805
4 6.481 46.841
4 19.922 46.311
4 9.445 43.088
4 9.975 47.992
4 3.861 46.841
4 17.08 46.311
5 20.818 52.533
4 11.165 47.992
5 21.064 50.702
0 10.157 0
0 14.125 0
0 11.71 0
0 10.537 0
1 12.602 10.157
0 22.708 0
0 19.678 0
1 12.694 10.537
2 16.829 22.759
0 7.777 0
0 4.747 0
2 16.633 23.231
2 19.989 22.759
1 12.512 7.777
1 11.922 4.747
2 19.793 23.231
2 11.496 22.759
2 18.462 20.289
2 17.87 16.669
2 11.446 23.231
3 14.236 34.255
2 21.55 20.289
2 21.042 16.669
3 14.494 34.677
3 10.955 34.255
3 16.952 41.839
3 16.623 37.711
3 11.18 34.677
4 4.047 45.21
3 13.617 41.839
3 13.287 37.711
4 4.009 45.857
5 10.952 49.257
3 23.795 41.839
3 23.466 37.711
5 11.069 49.866
6 25.963 60.209
3 16.864 41.839
3 17.235 37.711
6 25.751 60.935
0 20.048 0
0 15.928 0
0 18.253 0
0 22.545 0
0 17.522 0
1 11.464 15.928
1 10.861 18.253
0 14.881 0
0 16.751 0
2 10.518 27.392
2 11.163 29.114
0 16.906 0
1 10.771 16.751
2 11.371 27.392
2 10.846 29.114
1 10.78 16.906
2 10.308 27.522
2 21.659 27.392
2 21.133 29.114
2 10.7 27.686
3 23.999 37.83
2 10.273 27.392
2 10.799 29.114
3 23.871 38.386
3 6.081 37.83
3 20.349 37.665
3 20.232 39.913
3 5.954 38.386
4 9.633 43.911
3 10.763 37.665
3 10.646 39.913
4 9.783 44.34
4 16.544 43.911
4 9.421 48.428
