0 18.124 0 4.95
0 24.937 0 3.56
0 13.756 0 6.03
0 8.911 0 7.82
1 5.263 18.124 6.82
0 23.882 0 3.57
0 11.881 0 6.71
1 5.213 8.911 7.15
2 9.394 23.387 5.28
0 25.775 0 3.56
0 14.106 0 5.92
2 9.577 14.124 5.74
3 13.53 32.781 3.73
0 31.881 0 3.56
1 14.171 14.106 5.5
2 13.824 14.124 5.25
4 28.714 46.311 0.69
0 7.171 0 7.97
2 28.831 28.277 3.3
2 22.465 14.124 3.4
4 10.411 46.311 3.48
1 18.866 7.171 4.72
2 10.528 28.277 4.88
3 18.788 36.589 3.15
4 20.563 46.311 2.57
2 10.279 26.037 5.03
3 10.503 38.805 4.29
3 10.252 36.589 4.39
4 19.218 46.311 2.87
3 6.772 36.316 4.95
3 9.187 38.805 4.48
4 6.481 46.841 4.27
4 19.922 46.311 2.75
4 9.445 43.088 3.84
4 9.975 47.992 3.53
4 3.861 46.841 4.63
4 17.08 46.311 2.78
5 20.818 52.533 2.34
4 11.165 47.992 3.38
5 21.064 50.702 2.32
0 10.157 0 7.65
0 14.125 0 5.91
0 11.71 0 6.79
0 10.537 0 7.4
1 12.602 10.157 6.13
0 22.708 0 3.66
0 19.678 0 4.6
1 12.694 10.537 6.08
2 16.829 22.759 4.36
0 7.777 0 7.92
0 4.747 0 8.04
2 16.633 23.231 4.35
2 19.989 22.759 4.18
1 12.512 7.777 6.34
1 11.922 4.747 6.64
2 19.793 23.231 4.15
2 11.496 22.759 4.93
2 18.462 20.289 4.39
2 17.87 16.669 4.62
2 11.446 23.231 4.91
3 14.236 34.255 3.48
2 21.55 20.289 3.83
2 21.042 16.669 3.96
3 14.494 34.677 3.38
3 10.955 34.255 4.31
3 16.952 41.839 3.07
3 16.623 37.711 3.15
3 11.18 34.677 4.25
4 4.047 45.21 4.68
3 13.617 41.839 3.49
3 13.287 37.711 3.66
4 4.009 45.857 4.62
5 10.952 49.257 3.18
3 23.795 41.839 2.43
3 23.466 37.711 2.97
5 11.069 49.866 3.16
6 25.963 60.209 1.71
3 16.864 41.839 3.07
3 17.235 37.711 3.15
6 25.751 60.935 1.71
0 20.048 0 4.51
0 15.928 0 5.42
0 18.253 0 4.92
0 22.545 0 3.73
0 17.522 0 5.09
1 11.464 15.928 6.02
1 10.861 18.253 5.91
0 14.881 0 5.67
0 16.751 0 5.26
2 10.518 27.392 4.92
2 11.163 29.114 4.72
0 16.906 0 5.22
1 10.771 16.751 6.14
2 11.371 27.392 4.75
2 10.846 29.114 4.78
1 10.78 16.906 6.12
2 10.308 27.522 4.95
2 21.659 27.392 3.69
2 21.133 29.114 3.49
2 10.7 27.686 4.87
3 23.999 37.83 2.95
2 10.273 27.392 4.96
2 10.799 29.114 4.79
3 23.871 38.386 2.91
3 6.081 37.83 4.95
3 20.349 37.665 3.06
3 20.232 39.913 2.82
3 5.954 38.386 4.94
4 9.633 43.911 3.74
3 10.763 37.665 4.26
3 10.646 39.913 4.23
4 9.783 44.34 3.68
4 16.544 43.911 2.76
4 9.421 48.428 3.63
4 9.992 50.559 3.53
4 16.694 44.34 2.77
4 9.238 43.911 3.82
5 23.474 57.849 1.41
5 23.536 60.551 1.41
4 9.13 44.34 3.81
0 10.561 0 7.38
0 26.962 0 3.56
0 13.345 0 6.17
0 14.881 0 5.67
1 11.123 10.561 6.49
0 26.883 0 3.56
1 11.031 13.345 6.32
0 22.545 0 3.73
2 23.564 21.684 3.31
0 16.343 0 5.34
2 23.497 24.376 3.31
0 2.904 0 8.09
2 15.37 21.684 4.6
1 19.217 16.343 4.65
2 15.603 24.376 4.37
1 19.413 2.904 4.66
2 20.068 21.684 4.24
2 22.975 35.56 3.15
2 20.001 24.376 4.05
2 22.634 22.317 3.44
3 19.596 41.752 2.88
2 12.481 35.56 4.17
3 19.875 44.377 2.78
2 12.505 22.317 4.91
3 4.178 41.752 4.96
3 20.286 48.041 2.65
3 4.252 44.377 4.73
3 19.87 34.822 3.14
4 10.791 45.93 3.44
3 15.453 48.041 3.02
4 10.9 48.629 3.41
3 15.037 34.822 3.21
5 8.55 56.721 3.64
3 9.611 48.041 3.9
5 8.357 59.529 3.68
3 9.526 34.822 4.56
5 12.053 56.721 3
4 11.428 57.652 3.34
5 11.446 59.529 3.1
4 11.325 44.348 3.47
0 21.109 0 4.23
0 14.555 0 5.77
0 22.708 0 3.66
0 11.523 0 6.87
0 13.898 0 5.98
1 16.412 14.555 5.14
0 19.138 0 4.72
1 16.483 11.523 5.26
1 15.156 13.898 5.31
1 2.591 14.555 7.69
0 25.204 0 3.56
2 15.651 28.006 3.99
1 14.669 13.898 5.4
2 2.619 17.146 7.03
0 27.429 0 3.56
3 2.441 43.657 5.13
1 6.456 13.898 6.73
3 18.617 19.765 4.18
0 13.541 0 6.1
4 18.075 46.098 2.84
2 13.201 20.354 4.99
3 5.645 19.765 5.7
1 13.122 13.541 5.77
4 5.22 46.098 4.47
2 19.718 20.354 4.32
4 27.779 25.41 2.68
2 27.767 26.663 3.3
4 32.765 46.098 0.69
3 5.041 40.072 4.95
4 29.462 25.41 2.68
3 5.124 54.43 4.47
4 34.448 46.098 0.69
4 24.549 45.113 1.25
4 9.279 25.41 4.64
